"RC-ADULT AGE CATEGORY RECODE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","285850000","N/A","2876000"
"1 - 18-25 Years Old","Overall","0.121","0.0015","0.118","0.124","1","0","N/A","N/A","0.121","0.0015","0.118","0.124","34490000","N/A","505000"
"2 - 26-34 Years Old","Overall","0.142","0.0017","0.139","0.145","1","0","N/A","N/A","0.142","0.0017","0.139","0.145","40618000","N/A","593000"
"3 - 35-49 Years Old","Overall","0.224","0.0021","0.22","0.228","1","0","N/A","N/A","0.224","0.0021","0.22","0.228","64032000","N/A","874000"
"4 - 50 or Older","Overall","0.423","0.0033","0.416","0.429","1","0","N/A","N/A","0.423","0.0033","0.416","0.429","120776000","N/A","1665000"
"5 - 12-17 Years Old","Overall","0.091","0.0011","0.089","0.093","1","0","N/A","N/A","0.091","0.0011","0.089","0.093","25933000","N/A","397000"
"Overall","AK","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","592000","N/A","49000"
"1 - 18-25 Years Old","AK","0","0","0","0","0.002","0.0002","0.002","0.002","0.111","0.0086","0.096","0.129","66000","N/A","6000"
"2 - 26-34 Years Old","AK","0","0","0","0","0.002","0.0002","0.002","0.003","0.156","0.0137","0.131","0.185","92000","N/A","10000"
"3 - 35-49 Years Old","AK","0.001","0","0","0.001","0.002","0.0002","0.002","0.003","0.243","0.0142","0.216","0.272","144000","N/A","13000"
"4 - 50 or Older","AK","0.001","0.0001","0.001","0.001","0.002","0.0002","0.001","0.002","0.39","0.0252","0.342","0.44","231000","N/A","29000"
"5 - 12-17 Years Old","AK","0","0","0","0","0.002","0.0002","0.002","0.003","0.1","0.0073","0.087","0.116","59000","N/A","6000"
"Overall","AL","0.015","0.001","0.013","0.017","0.015","0.001","0.013","0.017","1","0","N/A","N/A","4320000","N/A","299000"
"1 - 18-25 Years Old","AL","0.002","0.0002","0.002","0.002","0.016","0.0016","0.013","0.019","0.125","0.0136","0.1","0.154","538000","N/A","56000"
"2 - 26-34 Years Old","AL","0.002","0.0002","0.002","0.003","0.014","0.0016","0.012","0.018","0.135","0.0125","0.112","0.161","582000","N/A","65000"
"3 - 35-49 Years Old","AL","0.003","0.0003","0.003","0.004","0.014","0.0014","0.012","0.017","0.212","0.0118","0.19","0.236","917000","N/A","88000"
"4 - 50 or Older","AL","0.007","0.0006","0.006","0.008","0.016","0.0014","0.013","0.019","0.436","0.019","0.399","0.474","1885000","N/A","168000"
"5 - 12-17 Years Old","AL","0.001","0.0001","0.001","0.002","0.015","0.0015","0.013","0.019","0.092","0.0062","0.081","0.105","399000","N/A","39000"
"Overall","AR","0.009","0.0006","0.008","0.01","0.009","0.0006","0.008","0.01","1","0","N/A","N/A","2572000","N/A","166000"
"1 - 18-25 Years Old","AR","0.001","0.0001","0.001","0.001","0.009","0.0008","0.008","0.011","0.125","0.0092","0.108","0.144","320000","N/A","26000"
"2 - 26-34 Years Old","AR","0.001","0.0001","0.001","0.001","0.009","0.0009","0.007","0.011","0.137","0.01","0.118","0.157","352000","N/A","35000"
"3 - 35-49 Years Old","AR","0.002","0.0002","0.002","0.002","0.009","0.0008","0.007","0.01","0.217","0.0125","0.194","0.242","558000","N/A","52000"
"4 - 50 or Older","AR","0.004","0.0003","0.003","0.005","0.009","0.0008","0.008","0.011","0.425","0.0201","0.386","0.465","1093000","N/A","94000"
"5 - 12-17 Years Old","AR","0.001","0.0001","0.001","0.001","0.01","0.0008","0.008","0.011","0.097","0.0071","0.084","0.112","249000","N/A","20000"
"Overall","AZ","0.022","0.0016","0.019","0.026","0.022","0.0016","0.019","0.026","1","0","N/A","N/A","6394000","N/A","462000"
"1 - 18-25 Years Old","AZ","0.003","0.0003","0.002","0.004","0.023","0.0027","0.018","0.029","0.124","0.012","0.103","0.15","795000","N/A","95000"
"2 - 26-34 Years Old","AZ","0.003","0.0003","0.003","0.004","0.022","0.0021","0.019","0.027","0.143","0.0128","0.119","0.17","913000","N/A","89000"
"3 - 35-49 Years Old","AZ","0.005","0.0005","0.004","0.006","0.021","0.0023","0.017","0.026","0.213","0.016","0.183","0.246","1363000","N/A","147000"
"4 - 50 or Older","AZ","0.01","0.0011","0.008","0.012","0.023","0.0026","0.018","0.029","0.43","0.0361","0.361","0.502","2751000","N/A","325000"
"5 - 12-17 Years Old","AZ","0.002","0.0002","0.002","0.002","0.022","0.0024","0.018","0.027","0.09","0.0092","0.073","0.109","572000","N/A","64000"
"Overall","CA","0.117","0.004","0.109","0.125","0.117","0.004","0.109","0.125","1","0","N/A","N/A","33372000","N/A","1253000"
"1 - 18-25 Years Old","CA","0.014","0.0007","0.013","0.016","0.117","0.0059","0.106","0.129","0.121","0.0053","0.111","0.131","4024000","N/A","220000"
"2 - 26-34 Years Old","CA","0.018","0.0008","0.016","0.019","0.125","0.0054","0.115","0.136","0.152","0.0058","0.141","0.164","5079000","N/A","241000"
