"COVERED BY MEDICAID/CHIP","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","285850000","N/A","2876000"
"1 - Yes","Overall","0.204","0.0028","0.198","0.209","1","0","N/A","N/A","0.204","0.0028","0.198","0.209","58194000","N/A","997000"
"2 - No","Overall","0.766","0.0028","0.76","0.772","1","0","N/A","N/A","0.766","0.0028","0.76","0.772","218970000","N/A","2375000"
"85 - BAD DATA Logically assigned","Overall","0.001","0.0002","0.001","0.002","1","0","N/A","N/A","0.001","0.0002","0.001","0.002","425000","N/A","62000"
"94 - DON T KNOW","Overall","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","0.004","0.0003","0.004","0.005","1161000","N/A","77000"
"97 - REFUSED","Overall","0.001","0.0002","0.001","0.001","1","0","N/A","N/A","0.001","0.0002","0.001","0.001","275000","N/A","43000"
"98 - BLANK","Overall","0.024","0.0008","0.022","0.025","1","0","N/A","N/A","0.024","0.0008","0.022","0.025","6824000","N/A","222000"
"Overall","AK","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","592000","N/A","49000"
"1 - Yes","AK","0","0.0001","0","0.001","0.002","0.0003","0.002","0.003","0.21","0.0205","0.173","0.253","124000","N/A","17000"
"2 - No","AK","0.002","0.0001","0.001","0.002","0.002","0.0002","0.002","0.002","0.764","0.0198","0.723","0.801","453000","N/A","38000"
"85 - BAD DATA Logically assigned","AK","0","0","0","0","0.001","0.0005","0","0.003","0.001","0.0004","0","0.002","0","N/A","0"
"94 - DON T KNOW","AK","0","0","0","0","0.002","0.0007","0.001","0.004","0.004","0.0013","0.002","0.008","2000","N/A","1000"
"97 - REFUSED","AK","0","0","0","0","0.002","0.0014","0.001","0.007","0.001","0.0006","0","0.003","1000","N/A","0"
"98 - BLANK","AK","0","0","0","0","0.002","0.0004","0.001","0.003","0.021","0.0049","0.013","0.033","12000","N/A","3000"
"Overall","AL","0.015","0.001","0.013","0.017","0.015","0.001","0.013","0.017","1","0","N/A","N/A","4320000","N/A","299000"
"1 - Yes","AL","0.003","0.0004","0.002","0.003","0.013","0.0017","0.01","0.017","0.176","0.0218","0.137","0.223","760000","N/A","101000"
"2 - No","AL","0.012","0.001","0.011","0.014","0.016","0.0013","0.014","0.019","0.815","0.0223","0.767","0.855","3521000","N/A","277000"
"85 - BAD DATA Logically assigned","AL","0","0","0","0","0.022","0.0212","0.003","0.136","0.002","0.0021","0","0.015","9000","N/A","9000"
"94 - DON T KNOW","AL","0","0","0","0","0.001","0.0009","0","0.005","0","0.0002","0","0.001","1000","N/A","1000"
"97 - REFUSED","AL","0","0","0","0","0.026","0.0139","0.009","0.073","0.002","0.0009","0.001","0.005","7000","N/A","4000"
"98 - BLANK","AL","0","0","0","0","0.003","0.0011","0.002","0.006","0.005","0.0018","0.002","0.01","21000","N/A","7000"
"Overall","AR","0.009","0.0006","0.008","0.01","0.009","0.0006","0.008","0.01","1","0","N/A","N/A","2572000","N/A","166000"
"1 - Yes","AR","0.002","0.0002","0.002","0.003","0.012","0.0012","0.009","0.014","0.26","0.0218","0.22","0.305","669000","N/A","71000"
"2 - No","AR","0.006","0.0005","0.006","0.007","0.008","0.0006","0.007","0.01","0.716","0.0214","0.673","0.756","1842000","N/A","131000"
"85 - BAD DATA Logically assigned","AR","0","0","0","0","0.002","0.0025","0","0.018","0","0.0004","0","0.003","1000","N/A","1000"
"94 - DON T KNOW","AR","0","0","0","0","0.014","0.0071","0.005","0.038","0.006","0.0032","0.002","0.017","17000","N/A","8000"
"97 - REFUSED","AR","0","0","0","0","0.001","0.0008","0","0.005","0","0.0001","0","0.001","0","N/A","0"
