"COVERED BY MEDICAID/CHIP","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","274487000","N/A","1650000"
"1 - Yes","Overall","0.164","0.0022","0.16","0.169","1","0","N/A","N/A","0.164","0.0022","0.16","0.169","45127000","N/A","603000"
"2 - No","Overall","0.829","0.0023","0.825","0.833","1","0","N/A","N/A","0.829","0.0023","0.825","0.833","227568000","N/A","1625000"
"85 - BAD DATA Logically assigned","Overall","0.001","0.0001","0.001","0.001","1","0","N/A","N/A","0.001","0.0001","0.001","0.001","224000","N/A","38000"
"94 - DON T KNOW","Overall","0.005","0.0003","0.004","0.005","1","0","N/A","N/A","0.005","0.0003","0.004","0.005","1247000","N/A","86000"
"97 - REFUSED","Overall","0.001","0.0001","0","0.001","1","0","N/A","N/A","0.001","0.0001","0","0.001","181000","N/A","31000"
"98 - BLANK","Overall","0.001","0.0001","0","0.001","1","0","N/A","N/A","0.001","0.0001","0","0.001","140000","N/A","30000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","585000","N/A","20000"
"1 - Yes","AK","0","0","0","0.001","0.003","0.0002","0.002","0.003","0.202","0.0154","0.173","0.233","118000","N/A","10000"
"2 - No","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.791","0.0155","0.759","0.819","462000","N/A","17000"
"85 - BAD DATA Logically assigned","AK","0","0","0","0","0.001","0.0007","0","0.005","0","0.0003","0","0.002","0","N/A","0"
"94 - DON T KNOW","AK","0","0","0","0","0.002","0.0007","0.001","0.004","0.004","0.0015","0.002","0.008","2000","N/A","1000"
"97 - REFUSED","AK","0","0","0","0","0.002","0.0023","0","0.017","0.001","0.0007","0","0.005","0","N/A","0"
"98 - BLANK","AK","0","0","0","0","0.013","0.008","0.004","0.043","0.003","0.0018","0.001","0.01","2000","N/A","1000"
"Overall","AL","0.015","0.0007","0.014","0.016","0.015","0.0007","0.014","0.016","1","0","N/A","N/A","4101000","N/A","183000"
"1 - Yes","AL","0.002","0.0002","0.002","0.003","0.013","0.001","0.012","0.016","0.148","0.013","0.124","0.176","607000","N/A","47000"
"2 - No","AL","0.013","0.0007","0.011","0.014","0.015","0.0008","0.014","0.017","0.849","0.0132","0.821","0.873","3481000","N/A","187000"
"85 - BAD DATA Logically assigned","AL","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","AL","0","0","0","0","0.009","0.0033","0.004","0.019","0.003","0.001","0.001","0.006","11000","N/A","4000"
"97 - REFUSED","AL","0","0","0","0","0.006","0.0065","0.001","0.045","0","0.0003","0","0.002","1000","N/A","1000"
"98 - BLANK","AL","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","AR","0.009","0.0003","0.008","0.01","0.009","0.0003","0.008","0.01","1","0","N/A","N/A","2499000","N/A","93000"
"1 - Yes","AR","0.002","0.0001","0.002","0.002","0.011","0.0007","0.01","0.013","0.206","0.0131","0.182","0.233","515000","N/A","32000"
"2 - No","AR","0.007","0.0003","0.007","0.008","0.009","0.0004","0.008","0.009","0.79","0.0134","0.762","0.815","1973000","N/A","88000"
"85 - BAD DATA Logically assigned","AR","0","0","0","0","0.018","0.0178","0.002","0.118","0.002","0.0016","0","0.011","4000","N/A","4000"
"94 - DON T KNOW","AR","0","0","0","0","0.002","0.0014","0","0.009","0.001","0.0007","0","0.004","2000","N/A","2000"
"97 - REFUSED","AR","0","0","0","0","0.023","0.0229","0.003","0.148","0.002","0.0017","0","0.012","4000","N/A","4000"
"98 - BLANK","AR","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","AZ","0.022","0.0015","0.019","0.025","0.022","0.0015","0.019","0.025","1","0","N/A","N/A","6042000","N/A","425000"
"1 - Yes","AZ","0.004","0.0003","0.003","0.005","0.024","0.0019","0.021","0.029","0.182","0.0183","0.149","0.221","1102000","N/A","89000"
"2 - No","AZ","0.018","0.0015","0.015","0.021","0.022","0.0018","0.018","0.026","0.813","0.0185","0.774","0.847","4915000","N/A","423000"
"85 - BAD DATA Logically assigned","AZ","0","0","0","0","0.061","0.0429","0.014","0.221","0.002","0.0017","0","0.01","14000","N/A","11000"
"94 - DON T KNOW","AZ","0","0","0","0","0.009","0.005","0.003","0.026","0.002","0.001","0.001","0.006","11000","N/A","6000"
"97 - REFUSED","AZ","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","AZ","0","0","0","0","0.008","0.0082","0.001","0.057","0","0.0002","0","0.001","1000","N/A","1000"
"Overall","CA","0.121","0.0023","0.116","0.125","0.121","0.0023","0.116","0.125","1","0","N/A","N/A","33110000","N/A","679000"
"1 - Yes","CA","0.029","0.0011","0.027","0.031","0.176","0.0059","0.164","0.188","0.239","0.0098","0.221","0.259","7925000","N/A","309000"
"2 - No","CA","0.091","0.0024","0.086","0.096","0.109","0.0028","0.104","0.115","0.752","0.0099","0.732","0.771","24897000","N/A","695000"
