"RC-EDUCATION CATEGORIES","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","282732000","N/A","2772000"
"1 - Less high school","Overall","0.086","0.0019","0.083","0.09","1","0","N/A","N/A","0.086","0.0019","0.083","0.09","24422000","N/A","598000"
"2 - High school grad","Overall","0.245","0.0028","0.24","0.251","1","0","N/A","N/A","0.245","0.0028","0.24","0.251","69310000","N/A","1054000"
"3 - Some coll/Assoc Dg","Overall","0.274","0.0026","0.269","0.279","1","0","N/A","N/A","0.274","0.0026","0.269","0.279","77403000","N/A","1076000"
"4 - College graduate","Overall","0.303","0.0034","0.297","0.31","1","0","N/A","N/A","0.303","0.0034","0.297","0.31","85777000","N/A","1212000"
"5 - 12 to 17 year olds","Overall","0.091","0.0011","0.089","0.094","1","0","N/A","N/A","0.091","0.0011","0.089","0.094","25820000","N/A","406000"
"Overall","AK","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","587000","N/A","47000"
"1 - Less high school","AK","0","0","0","0","0.002","0.0002","0.001","0.002","0.07","0.0088","0.055","0.09","41000","N/A","6000"
"2 - High school grad","AK","0.001","0.0001","0","0.001","0.002","0.0003","0.002","0.003","0.273","0.0188","0.237","0.311","160000","N/A","18000"
"3 - Some coll/Assoc Dg","AK","0.001","0.0001","0","0.001","0.002","0.0002","0.002","0.003","0.296","0.0217","0.255","0.34","174000","N/A","18000"
"4 - College graduate","AK","0.001","0.0001","0","0.001","0.002","0.0002","0.001","0.002","0.261","0.0183","0.227","0.299","153000","N/A","16000"
"5 - 12 to 17 year olds","AK","0","0","0","0","0.002","0.0002","0.002","0.003","0.1","0.0074","0.087","0.116","59000","N/A","6000"
"Overall","AL","0.015","0.0008","0.014","0.017","0.015","0.0008","0.014","0.017","1","0","N/A","N/A","4288000","N/A","223000"
"1 - Less high school","AL","0.002","0.0002","0.001","0.002","0.018","0.002","0.015","0.022","0.103","0.0097","0.085","0.123","440000","N/A","47000"
"2 - High school grad","AL","0.004","0.0003","0.004","0.005","0.018","0.0013","0.015","0.021","0.288","0.0167","0.257","0.322","1237000","N/A","92000"
"3 - Some coll/Assoc Dg","AL","0.004","0.0003","0.004","0.005","0.016","0.0011","0.014","0.018","0.281","0.0145","0.254","0.31","1206000","N/A","84000"
"4 - College graduate","AL","0.004","0.0003","0.003","0.004","0.012","0.0011","0.01","0.014","0.235","0.0157","0.206","0.268","1010000","N/A","93000"
"5 - 12 to 17 year olds","AL","0.001","0.0001","0.001","0.002","0.015","0.0013","0.013","0.018","0.092","0.0068","0.08","0.106","395000","N/A","34000"
