"RC-EDUCATION CATEGORIES","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","274487000","N/A","1650000"
"1 - Less high school","Overall","0.111","0.0019","0.107","0.115","1","0","N/A","N/A","0.111","0.0019","0.107","0.115","30514000","N/A","524000"
"2 - High school grad","Overall","0.223","0.0023","0.218","0.227","1","0","N/A","N/A","0.223","0.0023","0.218","0.227","61180000","N/A","704000"
"3 - Some coll/Assoc Dg","Overall","0.281","0.0022","0.277","0.285","1","0","N/A","N/A","0.281","0.0022","0.277","0.285","77103000","N/A","740000"
"4 - College graduate","Overall","0.294","0.0032","0.288","0.301","1","0","N/A","N/A","0.294","0.0032","0.288","0.301","80790000","N/A","1112000"
"5 - 12 to 17 year olds","Overall","0.091","0.0009","0.089","0.093","1","0","N/A","N/A","0.091","0.0009","0.089","0.093","24900000","N/A","266000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","585000","N/A","20000"
"1 - Less high school","AK","0","0","0","0","0.002","0.0002","0.001","0.002","0.085","0.0098","0.067","0.106","50000","N/A","6000"
"2 - High school grad","AK","0.001","0","0","0.001","0.002","0.0002","0.002","0.003","0.24","0.0147","0.213","0.27","140000","N/A","11000"
"3 - Some coll/Assoc Dg","AK","0.001","0","0.001","0.001","0.002","0.0001","0.002","0.003","0.323","0.0146","0.295","0.352","189000","N/A","10000"
"4 - College graduate","AK","0.001","0","0","0.001","0.002","0.0001","0.002","0.002","0.254","0.0144","0.227","0.283","148000","N/A","9000"
"5 - 12 to 17 year olds","AK","0","0","0","0","0.002","0.0002","0.002","0.003","0.098","0.0066","0.086","0.112","57000","N/A","4000"
"Overall","AL","0.015","0.0007","0.014","0.016","0.015","0.0007","0.014","0.016","1","0","N/A","N/A","4101000","N/A","183000"
