"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","280926000","N/A","3041000"
"1 - Employed full time","Overall","0.416","0.0029","0.411","0.422","1","0","N/A","N/A","0.416","0.0029","0.411","0.422","116938000","N/A","1466000"
"2 - Employed part time","Overall","0.124","0.0017","0.12","0.127","1","0","N/A","N/A","0.124","0.0017","0.12","0.127","34774000","N/A","613000"
"3 - Unemployed","Overall","0.048","0.0012","0.046","0.051","1","0","N/A","N/A","0.048","0.0012","0.046","0.051","13529000","N/A","374000"
"4 - Other","Overall","0.365","0.0029","0.36","0.371","1","0","N/A","N/A","0.365","0.0029","0.36","0.371","102613000","N/A","1403000"
"99 - 12-14 year olds","Overall","0.047","0.0007","0.045","0.048","1","0","N/A","N/A","0.047","0.0007","0.045","0.048","13071000","N/A","247000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","586000","N/A","40000"
"1 - Employed full time","AK","0.001","0.0001","0.001","0.001","0.002","0.0001","0.002","0.002","0.41","0.0206","0.37","0.451","240000","N/A","17000"
"2 - Employed part time","AK","0","0","0","0","0.002","0.0003","0.002","0.003","0.146","0.0142","0.12","0.176","85000","N/A","11000"
"3 - Unemployed","AK","0","0","0","0","0.003","0.0004","0.002","0.003","0.058","0.0078","0.045","0.075","34000","N/A","5000"
"4 - Other","AK","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.332","0.0189","0.296","0.37","195000","N/A","19000"
"99 - 12-14 year olds","AK","0","0","0","0","0.002","0.0003","0.002","0.003","0.054","0.0063","0.043","0.068","32000","N/A","4000"
"Overall","AL","0.015","0.0008","0.014","0.017","0.015","0.0008","0.014","0.017","1","0","N/A","N/A","4260000","N/A","214000"
"1 - Employed full time","AL","0.006","0.0005","0.005","0.007","0.014","0.0011","0.012","0.016","0.388","0.0206","0.349","0.429","1655000","N/A","130000"
"2 - Employed part time","AL","0.001","0.0002","0.001","0.002","0.012","0.0016","0.009","0.015","0.095","0.0115","0.074","0.12","403000","N/A","54000"
"3 - Unemployed","AL","0.001","0.0001","0","0.001","0.013","0.0018","0.01","0.017","0.042","0.0054","0.033","0.054","180000","N/A","24000"
"4 - Other","AL","0.007","0.0004","0.006","0.007","0.018","0.0012","0.016","0.02","0.43","0.0217","0.388","0.473","1833000","N/A","120000"
"99 - 12-14 year olds","AL","0.001","0.0001","0.001","0.001","0.014","0.0016","0.012","0.018","0.044","0.0044","0.036","0.054","189000","N/A","20000"
"Overall","AR","0.009","0.0007","0.008","0.011","0.009","0.0007","0.008","0.011","1","0","N/A","N/A","2535000","N/A","197000"
