"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","274487000","N/A","1650000"
"1 - Employed full time","Overall","0.454","0.0025","0.449","0.459","1","0","N/A","N/A","0.454","0.0025","0.449","0.459","124715000","N/A","1046000"
"2 - Employed part time","Overall","0.129","0.0014","0.126","0.132","1","0","N/A","N/A","0.129","0.0014","0.126","0.132","35451000","N/A","448000"
"3 - Unemployed","Overall","0.041","0.0008","0.04","0.043","1","0","N/A","N/A","0.041","0.0008","0.04","0.043","11290000","N/A","227000"
"4 - Other","Overall","0.331","0.0025","0.326","0.336","1","0","N/A","N/A","0.331","0.0025","0.326","0.336","90747000","N/A","889000"
"99 - 12-14 year olds","Overall","0.045","0.0005","0.044","0.046","1","0","N/A","N/A","0.045","0.0005","0.044","0.046","12284000","N/A","153000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","585000","N/A","20000"
"1 - Employed full time","AK","0.001","0","0.001","0.001","0.002","0.0001","0.002","0.002","0.466","0.0171","0.432","0.5","272000","N/A","13000"
"2 - Employed part time","AK","0","0","0","0","0.002","0.0002","0.002","0.003","0.139","0.011","0.119","0.162","81000","N/A","7000"
"3 - Unemployed","AK","0","0","0","0","0.002","0.0004","0.002","0.003","0.046","0.0063","0.035","0.06","27000","N/A","4000"
"4 - Other","AK","0.001","0","0.001","0.001","0.002","0.0001","0.002","0.002","0.299","0.0148","0.271","0.329","175000","N/A","10000"
"99 - 12-14 year olds","AK","0","0","0","0","0.002","0.0002","0.002","0.003","0.05","0.0043","0.042","0.059","29000","N/A","2000"
"Overall","AL","0.015","0.0007","0.014","0.016","0.015","0.0007","0.014","0.016","1","0","N/A","N/A","4101000","N/A","183000"
"1 - Employed full time","AL","0.006","0.0004","0.006","0.007","0.014","0.0008","0.012","0.016","0.42","0.0162","0.388","0.452","1722000","N/A","105000"
"2 - Employed part time","AL","0.002","0.0002","0.001","0.002","0.012","0.0012","0.01","0.015","0.107","0.0103","0.089","0.129","440000","N/A","43000"
"3 - Unemployed","AL","0.001","0.0001","0","0.001","0.015","0.0018","0.012","0.019","0.041","0.0053","0.032","0.053","170000","N/A","21000"
"4 - Other","AL","0.006","0.0004","0.005","0.007","0.017","0.0013","0.015","0.02","0.385","0.02","0.346","0.425","1578000","N/A","115000"
"99 - 12-14 year olds","AL","0.001","0.0001","0.001","0.001","0.016","0.0016","0.013","0.019","0.047","0.0043","0.039","0.056","192000","N/A","20000"
"Overall","AR","0.009","0.0003","0.008","0.01","0.009","0.0003","0.008","0.01","1","0","N/A","N/A","2499000","N/A","93000"
"1 - Employed full time","AR","0.004","0.0002","0.004","0.004","0.009","0.0004","0.008","0.01","0.433","0.0157","0.402","0.464","1081000","N/A","53000"
"2 - Employed part time","AR","0.001","0.0001","0.001","0.001","0.008","0.0008","0.007","0.01","0.113","0.0101","0.095","0.134","282000","N/A","28000"
"3 - Unemployed","AR","0","0","0","0","0.008","0.0012","0.006","0.011","0.036","0.0053","0.027","0.048","91000","N/A","13000"
