"RC-POVERTY LEVEL-NEW INC (% OF US CENSUS POVERTY THRESHOLD)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","285769000","N/A","2876000"
"1 - Living in Poverty","Overall","0.161","0.0026","0.156","0.166","1","0","N/A","N/A","0.161","0.0026","0.156","0.166","46039000","N/A","860000"
"2 - Income Up to 2X Fed Pov Thresh","Overall","0.192","0.0024","0.188","0.197","1","0","N/A","N/A","0.192","0.0024","0.188","0.197","54992000","N/A","891000"
"3 - Income More Than 2X Fed Pov Thresh","Overall","0.646","0.0038","0.639","0.654","1","0","N/A","N/A","0.646","0.0038","0.639","0.654","184738000","N/A","2197000"
"Overall","AK","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","592000","N/A","49000"
"1 - Living in Poverty","AK","0","0","0","0","0.002","0.0002","0.001","0.002","0.128","0.0153","0.101","0.162","76000","N/A","11000"
"2 - Income Up to 2X Fed Pov Thresh","AK","0","0","0","0","0.002","0.0002","0.001","0.002","0.165","0.0157","0.137","0.198","98000","N/A","13000"
"3 - Income More Than 2X Fed Pov Thresh","AK","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.003","0.707","0.0236","0.658","0.751","419000","N/A","37000"
"Overall","AL","0.015","0.001","0.013","0.017","0.015","0.001","0.013","0.017","1","0","N/A","N/A","4307000","N/A","300000"
"1 - Living in Poverty","AL","0.003","0.0004","0.003","0.004","0.021","0.0023","0.017","0.027","0.23","0.0239","0.186","0.28","990000","N/A","110000"
"2 - Income Up to 2X Fed Pov Thresh","AL","0.003","0.0002","0.003","0.004","0.017","0.0012","0.014","0.019","0.212","0.0155","0.183","0.243","911000","N/A","63000"
"3 - Income More Than 2X Fed Pov Thresh","AL","0.008","0.0009","0.007","0.01","0.013","0.0014","0.011","0.016","0.559","0.031","0.497","0.618","2406000","N/A","256000"
"Overall","AR","0.009","0.0006","0.008","0.01","0.009","0.0006","0.008","0.01","1","0","N/A","N/A","2570000","N/A","166000"
"1 - Living in Poverty","AR","0.002","0.0002","0.002","0.003","0.013","0.0014","0.01","0.016","0.229","0.022","0.188","0.275","588000","N/A","64000"
"2 - Income Up to 2X Fed Pov Thresh","AR","0.002","0.0002","0.002","0.003","0.011","0.0009","0.01","0.013","0.243","0.0175","0.211","0.279","625000","N/A","51000"
"3 - Income More Than 2X Fed Pov Thresh","AR","0.005","0.0004","0.004","0.006","0.007","0.0007","0.006","0.009","0.528","0.0274","0.474","0.581","1357000","N/A","128000"
"Overall","AZ","0.022","0.0016","0.019","0.026","0.022","0.0016","0.019","0.026","1","0","N/A","N/A","6394000","N/A","462000"
"1 - Living in Poverty","AZ","0.004","0.0005","0.003","0.005","0.024","0.0029","0.019","0.031","0.175","0.02","0.139","0.218","1118000","N/A","132000"
"2 - Income Up to 2X Fed Pov Thresh","AZ","0.004","0.0006","0.003","0.006","0.022","0.0032","0.016","0.029","0.188","0.0194","0.153","0.229","1203000","N/A","182000"
"3 - Income More Than 2X Fed Pov Thresh","AZ","0.014","0.0011","0.012","0.017","0.022","0.0017","0.019","0.026","0.637","0.0282","0.58","0.69","4073000","N/A","324000"
"Overall","CA","0.117","0.004","0.109","0.125","0.117","0.004","0.109","0.125","1","0","N/A","N/A","33372000","N/A","1253000"
"1 - Living in Poverty","CA","0.02","0.0014","0.017","0.023","0.122","0.0079","0.107","0.138","0.168","0.0101","0.149","0.189","5615000","N/A","402000"
"2 - Income Up to 2X Fed Pov Thresh","CA","0.022","0.0011","0.02","0.024","0.113","0.0053","0.103","0.124","0.186","0.0078","0.171","0.202","6205000","N/A","313000"
"3 - Income More Than 2X Fed Pov Thresh","CA","0.075","0.0032","0.069","0.082","0.117","0.0049","0.107","0.127","0.646","0.0147","0.616","0.674","21551000","N/A","984000"
"Overall","CO","0.018","0.0013","0.015","0.02","0.018","0.0013","0.015","0.02","1","0","N/A","N/A","5050000","N/A","384000"
"1 - Living in Poverty","CO","0.002","0.0003","0.001","0.002","0.011","0.0017","0.009","0.015","0.104","0.0114","0.084","0.129","527000","N/A","77000"
"2 - Income Up to 2X Fed Pov Thresh","CO","0.003","0.0004","0.002","0.004","0.016","0.0019","0.013","0.02","0.173","0.0139","0.147","0.202","874000","N/A","104000"
