"RC-RACE RECODE (4 LEVELS)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","282732000","N/A","2772000"
"1 - White, Not Hispanic","Overall","0.604","0.0043","0.595","0.612","1","0","N/A","N/A","0.604","0.0043","0.595","0.612","170677000","N/A","1998000"
"2 - Black, Not Hispanic","Overall","0.122","0.0028","0.117","0.128","1","0","N/A","N/A","0.122","0.0028","0.117","0.128","34550000","N/A","845000"
"3 - Other or Multiple, Not Hispanic","Overall","0.092","0.0023","0.087","0.096","1","0","N/A","N/A","0.092","0.0023","0.087","0.096","25933000","N/A","696000"
"4 - Hispanic","Overall","0.182","0.0033","0.176","0.189","1","0","N/A","N/A","0.182","0.0033","0.176","0.189","51573000","N/A","1098000"
"Overall","AK","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","587000","N/A","47000"
"1 - White, Not Hispanic","AK","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.003","0.615","0.0278","0.559","0.668","361000","N/A","33000"
"2 - Black, Not Hispanic","AK","0","0","0","0","0","0.0002","0","0.001","0.029","0.0099","0.015","0.056","17000","N/A","6000"
"3 - Other or Multiple, Not Hispanic","AK","0.001","0.0001","0","0.001","0.007","0.0008","0.005","0.008","0.29","0.0234","0.247","0.338","170000","N/A","20000"
"4 - Hispanic","AK","0","0","0","0","0.001","0.0001","0.001","0.001","0.066","0.0086","0.051","0.085","39000","N/A","6000"
"Overall","AL","0.015","0.0008","0.014","0.017","0.015","0.0008","0.014","0.017","1","0","N/A","N/A","4288000","N/A","223000"
"1 - White, Not Hispanic","AL","0.01","0.0007","0.009","0.011","0.017","0.0012","0.014","0.019","0.66","0.0257","0.608","0.709","2830000","N/A","199000"
"2 - Black, Not Hispanic","AL","0.004","0.0004","0.003","0.005","0.032","0.003","0.027","0.038","0.258","0.022","0.217","0.303","1104000","N/A","102000"
"3 - Other or Multiple, Not Hispanic","AL","0.001","0.0001","0","0.001","0.006","0.0012","0.004","0.009","0.036","0.0069","0.025","0.053","156000","N/A","30000"
"4 - Hispanic","AL","0.001","0.0001","0","0.001","0.004","0.0008","0.003","0.006","0.046","0.0094","0.031","0.068","198000","N/A","41000"
"Overall","AR","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2553000","N/A","151000"
"1 - White, Not Hispanic","AR","0.007","0.0005","0.006","0.008","0.011","0.0008","0.009","0.012","0.725","0.0236","0.677","0.769","1852000","N/A","132000"
"2 - Black, Not Hispanic","AR","0.001","0.0002","0.001","0.002","0.011","0.0013","0.008","0.014","0.146","0.0166","0.116","0.181","372000","N/A","45000"
"3 - Other or Multiple, Not Hispanic","AR","0","0.0001","0","0.001","0.005","0.0007","0.004","0.006","0.048","0.0061","0.037","0.061","122000","N/A","18000"
"4 - Hispanic","AR","0.001","0.0001","0","0.001","0.004","0.0008","0.003","0.006","0.081","0.0163","0.055","0.12","208000","N/A","42000"
"Overall","AZ","0.022","0.0016","0.019","0.026","0.022","0.0016","0.019","0.026","1","0","N/A","N/A","6286000","N/A","461000"
"1 - White, Not Hispanic","AZ","0.012","0.0012","0.01","0.015","0.021","0.0019","0.017","0.025","0.558","0.0324","0.493","0.62","3505000","N/A","335000"
"2 - Black, Not Hispanic","AZ","0.001","0.0002","0.001","0.001","0.008","0.0015","0.006","0.012","0.047","0.008","0.033","0.065","293000","N/A","52000"
"3 - Other or Multiple, Not Hispanic","AZ","0.002","0.0003","0.002","0.003","0.023","0.0035","0.017","0.031","0.096","0.0129","0.073","0.124","602000","N/A","91000"
"4 - Hispanic","AZ","0.007","0.0008","0.005","0.008","0.037","0.0044","0.029","0.046","0.3","0.0302","0.244","0.362","1886000","N/A","235000"
"Overall","CA","0.117","0.004","0.11","0.125","0.117","0.004","0.11","0.125","1","0","N/A","N/A","33130000","N/A","1234000"
"1 - White, Not Hispanic","CA","0.042","0.0024","0.038","0.047","0.07","0.004","0.063","0.078","0.361","0.0152","0.332","0.391","11955000","N/A","713000"
"2 - Black, Not Hispanic","CA","0.006","0.0006","0.005","0.008","0.053","0.0049","0.044","0.064","0.055","0.0054","0.045","0.067","1829000","N/A","174000"
