"PAST 12 MOS, TIME WITH NO JOB","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","274487000","N/A","1650000"
"1 - Yes","Overall","0.076","0.0011","0.074","0.078","1","0","N/A","N/A","0.076","0.0011","0.074","0.078","20748000","N/A","319000"
"2 - No","Overall","0.502","0.0023","0.498","0.507","1","0","N/A","N/A","0.502","0.0023","0.498","0.507","137924000","N/A","1073000"
"85 - BAD DATA Logically assigned","Overall","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","53000","N/A","14000"
"94 - DON T KNOW","Overall","0.001","0.0001","0.001","0.001","1","0","N/A","N/A","0.001","0.0001","0.001","0.001","206000","N/A","27000"
"97 - REFUSED","Overall","0.008","0.0004","0.008","0.009","1","0","N/A","N/A","0.008","0.0004","0.008","0.009","2329000","N/A","116000"
"98 - BLANK","Overall","0.004","0.0002","0.003","0.004","1","0","N/A","N/A","0.004","0.0002","0.003","0.004","976000","N/A","64000"
"99 - LEGITIMATE SKIP","Overall","0.409","0.0024","0.404","0.414","1","0","N/A","N/A","0.409","0.0024","0.404","0.414","112251000","N/A","918000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","585000","N/A","20000"
"1 - Yes","AK","0","0","0","0","0.003","0.0003","0.002","0.003","0.097","0.0098","0.079","0.118","56000","N/A","6000"
"2 - No","AK","0.001","0.0001","0.001","0.001","0.002","0.0001","0.002","0.002","0.504","0.0161","0.473","0.536","295000","N/A","14000"
"85 - BAD DATA Logically assigned","AK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","AK","0","0","0","0","0","0.0003","0","0.002","0","0.0001","0","0.001","0","N/A","0"
"97 - REFUSED","AK","0","0","0","0","0.002","0.0004","0.001","0.003","0.006","0.0016","0.004","0.01","4000","N/A","1000"
"98 - BLANK","AK","0","0","0","0","0.003","0.0013","0.001","0.007","0.005","0.0022","0.002","0.012","3000","N/A","1000"
"99 - LEGITIMATE SKIP","AK","0.001","0","0.001","0.001","0.002","0.0001","0.002","0.002","0.388","0.0167","0.355","0.421","227000","N/A","12000"
"Overall","AL","0.015","0.0007","0.014","0.016","0.015","0.0007","0.014","0.016","1","0","N/A","N/A","4101000","N/A","183000"
"1 - Yes","AL","0.001","0.0001","0.001","0.001","0.011","0.001","0.009","0.013","0.056","0.0055","0.046","0.068","231000","N/A","21000"
"2 - No","AL","0.007","0.0004","0.006","0.008","0.014","0.0008","0.012","0.016","0.464","0.0176","0.43","0.499","1903000","N/A","115000"
"85 - BAD DATA Logically assigned","AL","0","0","0","0","0.016","0.0162","0.002","0.11","0","0.0002","0","0.001","1000","N/A","1000"
"94 - DON T KNOW","AL","0","0","0","0","0.026","0.0137","0.009","0.072","0.001","0.0007","0","0.004","5000","N/A","3000"
"97 - REFUSED","AL","0","0","0","0","0.011","0.005","0.005","0.027","0.007","0.0029","0.003","0.015","27000","N/A","12000"
"98 - BLANK","AL","0","0","0","0","0.015","0.0067","0.006","0.036","0.004","0.0016","0.001","0.009","14000","N/A","7000"
"99 - LEGITIMATE SKIP","AL","0.007","0.0004","0.006","0.008","0.017","0.001","0.015","0.019","0.468","0.0185","0.432","0.504","1920000","N/A","118000"
"Overall","AR","0.009","0.0003","0.008","0.01","0.009","0.0003","0.008","0.01","1","0","N/A","N/A","2499000","N/A","93000"
"1 - Yes","AR","0.001","0.0001","0.001","0.001","0.008","0.0009","0.007","0.01","0.068","0.007","0.056","0.083","170000","N/A","18000"
"2 - No","AR","0.004","0.0002","0.004","0.005","0.009","0.0004","0.008","0.009","0.472","0.0161","0.441","0.504","1180000","N/A","60000"
"85 - BAD DATA Logically assigned","AR","0","0","0","0","0.046","0.0335","0.011","0.178","0.001","0.0007","0","0.004","2000","N/A","2000"
"94 - DON T KNOW","AR","0","0","0","0","0.001","0.0009","0","0.006","0","0.0001","0","0.001","0","N/A","0"
"97 - REFUSED","AR","0","0","0","0","0.004","0.0014","0.002","0.008","0.004","0.0013","0.002","0.007","9000","N/A","3000"
"98 - BLANK","AR","0","0","0","0","0.007","0.0026","0.003","0.014","0.003","0.001","0.001","0.005","7000","N/A","2000"
"99 - LEGITIMATE SKIP","AR","0.004","0.0002","0.004","0.005","0.01","0.0005","0.009","0.011","0.452","0.0157","0.422","0.483","1130000","N/A","58000"
"Overall","AZ","0.022","0.0015","0.019","0.025","0.022","0.0015","0.019","0.025","1","0","N/A","N/A","6042000","N/A","425000"
"1 - Yes","AZ","0.002","0.0004","0.001","0.003","0.027","0.0048","0.019","0.038","0.093","0.0147","0.068","0.126","564000","N/A","102000"
"2 - No","AZ","0.01","0.0008","0.008","0.011","0.019","0.0016","0.017","0.023","0.444","0.0223","0.401","0.488","2683000","N/A","221000"
"85 - BAD DATA Logically assigned","AZ","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","AZ","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"97 - REFUSED","AZ","0","0.0001","0","0.001","0.037","0.0116","0.02","0.068","0.014","0.0044","0.008","0.026","87000","N/A","28000"
"98 - BLANK","AZ","0","0","0","0","0.025","0.0092","0.012","0.051","0.004","0.0015","0.002","0.008","24000","N/A","9000"
"99 - LEGITIMATE SKIP","AZ","0.01","0.0008","0.008","0.012","0.024","0.0021","0.02","0.028","0.444","0.0227","0.4","0.489","2684000","N/A","234000"
"Overall","CA","0.121","0.0023","0.116","0.125","0.121","0.0023","0.116","0.125","1","0","N/A","N/A","33110000","N/A","679000"
"1 - Yes","CA","0.01","0.0005","0.009","0.011","0.134","0.0057","0.123","0.145","0.084","0.0035","0.077","0.091","2773000","N/A","130000"
"2 - No","CA","0.059","0.0015","0.056","0.062","0.117","0.0029","0.111","0.122","0.486","0.0079","0.471","0.502","16104000","N/A","427000"
"85 - BAD DATA Logically assigned","CA","0","0","0","0","0.071","0.0682","0.01","0.368","0","0.0001","0","0.001","4000","N/A","4000"
"94 - DON T KNOW","CA","0","0.0001","0","0","0.2","0.0618","0.105","0.348","0.001","0.0004","0.001","0.003","41000","N/A","15000"
"97 - REFUSED","CA","0.001","0.0002","0.001","0.002","0.151","0.018","0.119","0.19","0.011","0.0014","0.008","0.014","352000","N/A","46000"
"98 - BLANK","CA","0.001","0.0001","0","0.001","0.152","0.0245","0.11","0.207","0.004","0.0008","0.003","0.006","149000","N/A","26000"
"99 - LEGITIMATE SKIP","CA","0.05","0.0013","0.047","0.053","0.122","0.0032","0.116","0.128","0.413","0.008","0.398","0.429","13688000","N/A","382000"
"Overall","CO","0.018","0.0009","0.016","0.019","0.018","0.0009","0.016","0.019","1","0","N/A","N/A","4806000","N/A","245000"
"1 - Yes","CO","0.002","0.0001","0.001","0.002","0.022","0.0019","0.018","0.026","0.094","0.008","0.08","0.111","454000","N/A","40000"
"2 - No","CO","0.01","0.0006","0.009","0.011","0.019","0.0012","0.017","0.022","0.553","0.0181","0.517","0.588","2656000","N/A","170000"
"85 - BAD DATA Logically assigned","CO","0","0","0","0","0.058","0.0566","0.008","0.32","0.001","0.0006","0","0.004","3000","N/A","3000"
"94 - DON T KNOW","CO","0","0","0","0","0.017","0.0118","0.004","0.065","0.001","0.0005","0","0.003","3000","N/A","2000"
"97 - REFUSED","CO","0","0","0","0","0.011","0.0045","0.005","0.024","0.006","0.0021","0.003","0.012","27000","N/A","10000"
"98 - BLANK","CO","0","0","0","0","0.011","0.0055","0.004","0.029","0.002","0.0011","0.001","0.006","11000","N/A","5000"
"99 - LEGITIMATE SKIP","CO","0.006","0.0004","0.005","0.007","0.015","0.0011","0.013","0.017","0.344","0.0189","0.308","0.382","1651000","N/A","122000"
"Overall","CT","0.011","0.0005","0.01","0.012","0.011","0.0005","0.01","0.012","1","0","N/A","N/A","3060000","N/A","137000"
"1 - Yes","CT","0.001","0.0001","0.001","0.001","0.011","0.0014","0.009","0.014","0.076","0.0089","0.06","0.095","232000","N/A","29000"
"2 - No","CT","0.006","0.0003","0.005","0.007","0.012","0.0007","0.011","0.014","0.55","0.0206","0.509","0.59","1683000","N/A","96000"
"85 - BAD DATA Logically assigned","CT","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","CT","0","0","0","0","0.006","0.0047","0.001","0.027","0","0.0003","0","0.002","1000","N/A","1000"
"97 - REFUSED","CT","0","0","0","0","0.006","0.002","0.003","0.011","0.004","0.0016","0.002","0.009","13000","N/A","5000"
"98 - BLANK","CT","0","0","0","0","0.011","0.0045","0.005","0.025","0.004","0.0014","0.002","0.008","11000","N/A","4000"
"99 - LEGITIMATE SKIP","CT","0.004","0.0003","0.004","0.005","0.01","0.0007","0.009","0.011","0.366","0.0188","0.33","0.403","1119000","N/A","79000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","598000","N/A","29000"
"1 - Yes","DC","0","0","0","0","0.002","0.0003","0.002","0.003","0.084","0.0095","0.067","0.105","50000","N/A","6000"
"2 - No","DC","0.001","0.0001","0.001","0.001","0.003","0.0001","0.002","0.003","0.584","0.0167","0.551","0.616","349000","N/A","20000"
"85 - BAD DATA Logically assigned","DC","0","0","0","0","0.005","0.005","0.001","0.036","0","0.0004","0","0.003","0","N/A","0"
"94 - DON T KNOW","DC","0","0","0","0","0","0.0002","0","0.001","0","0.0001","0","0","0","N/A","0"
"97 - REFUSED","DC","0","0","0","0","0.001","0.0007","0.001","0.004","0.005","0.0026","0.002","0.014","3000","N/A","2000"
"98 - BLANK","DC","0","0","0","0","0.002","0.0009","0.001","0.005","0.004","0.0015","0.002","0.008","2000","N/A","1000"
